Unnamed: 0,Dosya Adı,Cümle Sayısı,Hece Sayısı,Cümle Başına Ortalama Kelime Sayısı,Cümle Başına Ortalama Hece Sayısı,Ateşman Okunabilirlik Puanı,Ofansif Cümle Sayısı,Ofansif Cümle Oranı,Ofansif Cümle Yüzdesi,Ofansif Kelime Sayısı,Ofansif Kelime Oranı,Kelime Sayısı,Ofansif Kelime Sayısının Ofansif Olmayan Kelime Sayısına oranı,FRES,CetinKayaUzun,Ortalama Cümle Ofansifliği,Önerilen Yaş Aralığı
34,Ahmet Ümit - Beyoğlu Rapsodisi.txt,13510,259841,7.506291635825314,19.23323464100666,76.29390646090714,837,0.0619541080680977,0.0660459244062179,2146,0.0211616211418992,101410,0.0216191166989039,220.8930182397113,44.94837300285808,0.0655514283142267,18+
35,Ahmet Ümit - Bir Ses Böler Geceyi.txt,4534,87722,7.600132333480371,19.34759594177327,76.71547924178779,262,0.0577856197617997,0.0613295880149812,811,0.0235352157636611,34459,0.0241024726581074,220.6574198473377,45.28837397379211,0.0613992840115096,18+
36,Ahmet Ümit - Kar Kokusu.txt,7371,172661,8.812915479582147,23.42436575769909,69.03979806442361,322,0.043684710351377,0.0456802383316782,1672,0.0257389162561576,64960,0.0264189103779547,220.3762217611306,41.1932851930942,0.0477558124171033,18+
37,Ahmet Ümit - Ninatta'nın Bileziği.txt,1599,28990,7.333958724202627,18.13008130081301,80.36783519806684,68,0.0425265791119449,0.0444154147615937,334,0.0284812825104459,11727,0.0293162468182217,220.3047694237141,47.45996518513506,0.0476063065073005,18+
38,Aşkın Güngör - Sevgili Salak.txt,3653,32355,4.114152751163427,8.857103750342185,101.5968008230898,1007,0.275663837941418,0.3805744520030234,466,0.0310067203406746,15029,0.0319989013252763,220.8721431417464,58.88236055306306,0.2777741741013116,18+
39,Ayfer Tunç - Ömür Diyorlar Buna.txt,2368,56310,10.51984797297297,23.77956081081081,80.55473085179861,133,0.0561655405405405,0.0595078299776286,363,0.0145718758781261,24911,0.0147873553853674,215.2807375517823,49.86598643964744,0.0585840713964087,18+
40,Ayşe Kulin - Fureya.txt,9828,207399,8.177146927146927,21.10286935286935,73.80250186762365,490,0.0498575498575498,0.0524737631184407,1473,0.0183288745100479,80365,0.0186710946610556,220.3680278231548,43.81800168196406,0.0524936267389357,18+
41,Ayşe Kulin - Geniş Zamanlar.txt,3206,61399,7.492514036182158,19.15127885215221,76.58002398231658,222,0.0692451653150343,0.074396782841823,431,0.0179426335289954,24021,0.0182704535820262,220.8543245552609,45.12356450801795,0.0740641945458429,18+
42,Ayşe Kulin - Kardelenler.txt,2921,86790,11.11263266004793,29.71242725094146,62.40302968148932,76,0.0260184868195823,0.026713532513181,317,0.0097658656808379,32460,0.0098621783903182,218.1756223971863,38.54983239319327,0.0278655096711348,18+
43,Ayşe Kulin - Köprü.txt,6241,136294,8.423970517545266,21.83848742188752,72.6878786884696,534,0.0855632110238743,0.0935693008585947,892,0.0169665614181915,52574,0.0172593939863008,220.216560973499,43.27405126039997,0.0892166976115009,18+
44,Ayşe Kulin - Nefes Nefese.txt,10054,202119,7.78595583847225,20.10334195345136,74.7717847327167,986,0.0980704197334394,0.1087340097044552,1438,0.0183699540112417,78280,0.0187137242653757,220.7759791468939,44.16438960184497,0.1014817937369241,18+
45,Ayşe Kulin - Sevdalinka.txt,9238,203087,8.475968824420871,21.98387096774194,72.50200586015819,786,0.0850833513747564,0.0929957406530998,1576,0.0201274568651741,78301,0.0205408927989573,220.1743447408744,43.19111693709825,0.0889807136072718,18+
46,Aziz Nesin - Kazan Toreni.txt,4839,63975,5.507956189295309,13.22070675759455,88.01747713286753,675,0.1394916305021699,0.1621037463976945,428,0.0160582298427944,26653,0.0163203050524308,221.5509002867224,51.098369445083,0.1418055021150646,18+
47,Aziz Nesin - Memleketin Birinde.txt,3005,64819,8.424958402662229,21.57038269550749,73.97598871875336,534,0.1777038269550749,0.2161068393363011,579,0.0228700082948216,25317,0.0234052874120785,219.9437667591578,44.10796743707099,0.1805708438549121,18+
