isbn,title,author,residual,segment
9789944486552,Aşkname,Prof. Dr. İskender Pala,0.9910855255234194,KAPI YAYINLARI_ucuz
9786050930290,Bay Küt,Roger Hargreaves,0.3507113596721294,DOĞAN EGMONT ÇOCUK KİTAPLARI_ucuz
9789756802656,Psikolojik Danışma ve Rehberlik (Gürhan Can),Komisyon,1.2396468872103639,PEGEM AKADEMİ YAYINCILIK_orta
9786052247891,8.Sınıf Paragraf Soru Bankası,Kolektif,0.8186374948308743,KAREKÖK_orta
9789750831522,Keşanlı Ali Destanı,Haldun Taner,1.2772097527478454,YAPI KREDİ YAYINLARI_ucuz
9789752822016,Kuşçubaşı Hacı  Sami Bey (Teşkilat-ı Mahsusa'dan),Kim. Müh. Ekrem Hayri Peker,0.35291950591629595,KASTAŞ YAYINLARI_ucuz
9789757105589,Ömer Muhtar,Osman Arpaçukuru,0.5556296799895049,İLKE YAYINCILIK_ucuz
9789754036978,Dünyanın Dört Bir Yanından Yapımı Kolay Oyuncaklar,Oriol Ripoll,0.3686221302574406,TÜBİTAK YAYINLARI_ucuz
9786059681179,Felsefeye Yolculuk,Frank Thilly,0.3836598513456666,KARBON KİTAPLAR_ekonomik
9786055914257,Anlayarak Hızlı Okuma Teknikleri,Ahmet Akay Azak,0.43482038086155006,GÜLHANE YAYINLARI_ekonomik
9786055122720,Gol Kralı Kaçırıldı / Macera Geçidi,Psikolog Tuncel Altınköprü,0.9226473359965661,GENÇ HAYAT_ekonomik
9786051853765,Adı Aylin (Cep Boy),Ayşe Kulin,0.7053161460316337,EVEREST YAYINLARI_ucuz
9786052417959,KPSS ALES DGS Ezberbozan Paragraf Soru Bankası,Kolektif,2.6759785365087483,PEGEM AKADEMİ YAYINCILIK-SINAV KİTAPLARI_pahali
9786052355367,Benim İlk Sözlüğüm & Çocuklar İçin Resimli İlk Kitaplar Serisi,Kolektif,0.4393876750137533,POGO ÇOCUK_ucuz
9786055094447,Kudüs Fatihi Selahaddin Eyyubi - Kudüs Fatihi,Ebubekir Subaşı,0.6355525588054709,ÇELİK YAYINEVİ_orta
9789752899513,Gizli Anların Yolcusu,Ayşe Kulin,1.5310404820654364,EVEREST YAYINLARI_ekonomik
9786054054534,Kendine Bakma Kitabı,Cem Mumcu,0.7000486786335722,OKUYAN US YAYIN_orta
9786051420646,Uyumsuz (Karton Kapak),Veronica Roth,1.3919814671734416,ARTEMİS YAYINLARI_orta
9786056460869,Her Yönüyle İnternetin Altyapısı TCP/IP,Murat Yıldırımoğlu,0.42656350986068503,PUSULA YAYINCILIK VE İLETİŞİM_ekonomik
9786055125592,Kur'an'sız Müslümanlık,Prof. Dr. Bayraktar Bayraklı,1.3426504455957495,DÜŞÜN YAYINCILIK_ekonomik
9786059494571,Hadis Karşıtları Ne Yapmak İstiyor?,Prof. Dr. Mehmet Yaşar Kandemir,1.1752643400277405,TAHLİL YAYINLARI_ekonomik
9789750741173,Normal İnsanlar,Sally Rooney,0.45418066935545376,CAN YAYINLARI_ekonomik
9789750726415,Tanrıyı Gören Köpek,Dino Buzzati,0.37045831741681834,CAN YAYINLARI_ekonomik
9789755396255,Bilginin Arkeolojisi,Michel Foucault,0.41203234844516334,AYRINTI YAYINLARI_orta
9786055016357,Başka Dilde Aşk,Mia Sheridan,0.37831951715411893,YABANCI YAYINLARI_orta
9786059534116,Beyin Avcısı 2 / Kurt Kapanı,Ahmet Baki Yerli,0.564026666730407,ACAYİP KİTAPLAR_ekonomik
9786050812022,Babam Sultan Abdülhamid,Ayşe Osmanoğlu,0.8949061738744621,TİMAŞ YAYINLARI_ekonomik
9786051855547,Gölgesizler (Ciltli),Hasan Ali Toptaş,1.6449310036892273,EVEREST YAYINLARI_orta
9786051721064,Devlet ve Devrim,Vladimir İlyiç Lenin,0.4212798821801451,YORDAM KİTAP_ucuz
9789756247792,Fatiha Suresi Tefsiri,Mahmud Sami Ramazanoğlu,0.42800003400413633,ERKAM YAYINLARI_ucuz
